,42nd Street,All That Money Can Buy,American Madness,Angels with Dirty Faces,Arsenic and Old Lace,Ball of Fire,Bringing Up Baby,Captain Blood,Captains Courageous,Casablanca,Citizen Kane,Dancing Lady,Dark Victory,Destry Rides Again,Dinner at Eight,Dodsworth,Each Dawn I Die,Gilda,Gold Diggers of 1933,Gone with the Wind,Grand Hotel,Gunga Din,Holiday,How Green Was My Valley,If I Had a Million,International House,It Happened One Night,It's a Wonderful Life,Lady for a Day,Libeled Lady,Little Caesar,Little Women,Love Affair,Me and My Gal,Meet Me in St. Louis,Mildred Pierce,Morning Glory,Morocco,Mr. Deeds Goes to Town,Mr. Smith Goes to Washington,Mutiny on the Bounty,My Favorite Wife,My Man Godfrey,One Way Passage,Paramount on Parade,Penny Serenade,Quality Street,Scarface,She Done Him Wrong,Sons of the Desert,Stage Door,Stagecoach,Swing Time,The Adventures of Robin Hood,The Awful Truth,The Best Years of Our Lives,The Big House,The Big Sleep,The Grapes of Wrath,The Great Ziegfeld,The Maltese Falcon,The Merry Widow,The Petrified Forest,The Philadelphia Story,The Public Enemy,The Sea Hawk,The Wizard of Oz,The Women,To Have and Have Not,Woman of the Year,Yankee Doodle Dandy,You Can't Take It with You,Ziegfeld Follies
Adolph Faylauer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Morris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Al Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Craig,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alexander Pollard,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Jenkins,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Martell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ann Doran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Arthur Stuart Hull,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Norton,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
